INFO:__main__:Ready for business!
INFO:__main__:John is working...
INFO:__main__:Taking Order #0001...
INFO:__main__:Jane is working...
INFO:__main__:Preparing burger #0001-burger00...
INFO:__main__:Order #0001 queued.
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing burger #0001-burger01...
INFO:__main__:Burger made #0001-burger00
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing burger #0001-burger02...
INFO:__main__:Burger made #0001-burger01
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing burger #0001-burger03...
INFO:__main__:Burger made #0001-burger02
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing burger #0001-burger04...
INFO:__main__:Burger made #0001-burger03
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing burger #0001-burger05...
INFO:__main__:Burger made #0001-burger04
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing burger #0001-burger06...
INFO:__main__:Burger made #0001-burger05
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing burger #0001-burger07...
INFO:__main__:Burger made #0001-burger06
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing burger #0001-burger08...
INFO:__main__:Burger made #0001-burger07
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing burger #0001-burger09...
INFO:__main__:Burger made #0001-burger08
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing fried #0001-fries00...
INFO:__main__:Fries made #0001-fries00
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing fried #0001-fries01...
INFO:__main__:Burger made #0001-burger09
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing fried #0001-fries02...
INFO:__main__:Fries made #0001-fries01
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing fried #0001-fries03...
INFO:__main__:Fries made #0001-fries02
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing fried #0001-fries04...
INFO:__main__:Fries made #0001-fries03
INFO:__main__:Jane finish task...
INFO:__main__:Jane is working...
INFO:__main__:Preparing fried #0001-fries05...
INFO:__main__:Fries made #0001-fries04
INFO:__main__:John finish task...
INFO:__main__:John is working...
INFO:__main__:Preparing fried #0001-fries06...
